"","enrollee_id","city","city_development_index","gender_M","gender_F","relevent_experience_Y","enrolled_university_None","enrolled_university_FullTime","education_level","major_discipline_Arts","major_discipline_Humanities","major_discipline_Business","major_discipline_STEM","major_discipline_Other","experience","company_size","company_type_FundedStartup","company_type_EarlyStageStartup","company_type_PvtLtd","company_type_PublicSector","company_type_NGO","last_new_job","training_hours","target"
"1",8949,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,21,2,0,0,0,0,0,1,36,1
"2",29725,0.149253731343284,0.776,1,0,0,1,0,2,0,0,0,1,0,15,2,0,0,1,0,0,5,47,0
"3",11561,0.59053343350864,0.624,1,0,0,0,1,2,0,0,0,1,0,5,2,0,0,0,0,0,0,83,0
"4",33241,0.388888888888889,0.789,1,0,0,0,1,2,0,0,1,0,0,0,3,0,0,1,0,0,0,52,1
"5",666,0.284552845528455,0.767,1,0,1,1,0,3,0,0,0,1,0,21,2,1,0,0,0,0,4,8,0
"6",21651,0.304347826086957,0.764,1,0,1,0,0,2,0,0,0,1,0,11,2,0,0,1,0,0,1,24,1
"7",28806,0.234803337306317,0.92,1,0,1,1,0,1,0,0,0,0,0,5,2,1,0,0,0,0,1,24,0
"8",402,0.275590551181102,0.762,1,0,1,1,0,2,0,0,0,1,0,13,0,0,0,1,0,0,5,18,1
"9",27107,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,7,2,0,0,1,0,0,1,46,1
"10",699,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,17,7,0,0,1,0,0,5,123,0
"11",29452,0.59053343350864,0.624,1,0,0,0,1,1,0,0,0,0,0,2,2,0,0,1,0,0,0,32,1
"12",23853,0.214401481824496,0.92,1,0,1,1,0,2,0,0,0,1,0,5,6,0,0,1,0,0,1,108,0
"13",25619,0.0918367346938776,0.913,1,0,1,1,0,2,0,0,0,1,0,21,5,0,0,1,0,0,3,23,0
"14",8722,0.59053343350864,0.624,1,0,0,0,1,1,0,0,0,0,0,5,2,0,0,1,0,0,0,26,0
"15",6588,0.100226073850791,0.926,1,0,1,1,0,2,0,0,0,1,0,16,1,0,0,1,0,0,5,18,0
"16",4167,0.214401481824496,0.92,0,1,1,1,0,2,0,0,0,1,0,1,2,0,0,1,0,0,0,106,0
"17",5764,0.59053343350864,0.624,0,1,1,1,0,2,0,0,0,1,0,2,6,0,0,1,0,0,2,7,0
"18",2156,0.59053343350864,0.624,1,0,1,1,0,2,0,0,0,1,0,7,7,0,0,1,0,0,0,23,1
"19",11399,0.127659574468085,0.827,0,1,1,1,0,2,1,0,0,0,0,4,2,0,0,1,0,0,1,132,1
"20",31972,0.152173913043478,0.843,1,0,1,1,0,3,0,0,0,1,0,11,3,0,0,1,0,0,1,68,0
"21",19061,0.100226073850791,0.926,1,0,1,1,0,3,0,0,0,1,0,11,3,0,0,1,0,0,2,50,0
"22",6491,0.173333333333333,0.804,1,0,1,1,0,3,0,0,0,1,0,10,2,0,0,0,0,0,1,48,0
"23",7041,0.149253731343284,0.776,1,0,1,1,0,2,0,1,0,0,0,0,5,0,0,1,0,0,1,65,0
