"enrollee_id","city","city_development_index","gender_Other","gender_M","gender_F","relevent_experience_N","relevent_experience_Y","enrolled_university_None","enrolled_university_Part-Time","enrolled_university_Full-Time","education_level","major_discipline_None","major_discipline_Arts","major_discipline_Humanities","major_discipline_Business","major_discipline_STEM","major_discipline_Other","experience","company_size","company_type_Funded Startup","company_type_Early Stage Startup","company_type_Pvt Ltd","company_type_Public Sector","company_type_NGO","company_type_Other","last_new_job","training_hours","target"
8949,0.214401481824496,0.92,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"21","2",0,0,0,0,0,0,"1",36,1
29725,0.149253731343284,0.776,0,1,0,1,0,1,0,0,"2",0,0,0,0,1,0,"15","2",0,0,1,0,0,0,"5",47,0
11561,0.59053343350864,0.624,0,1,0,1,0,0,0,1,"2",0,0,0,0,1,0,"5","2",0,0,0,0,0,0,"0",83,0
33241,0.388888888888889,0.789,0,1,0,1,0,0,0,1,"2",0,0,0,1,0,0,"0","3",0,0,1,0,0,0,"0",52,1
666,0.284552845528455,0.767,0,1,0,0,1,1,0,0,"3",0,0,0,0,1,0,"21","2",1,0,0,0,0,0,"4",8,0
21651,0.304347826086957,0.764,0,1,0,0,1,0,1,0,"2",0,0,0,0,1,0,"11","2",0,0,1,0,0,0,"1",24,1
28806,0.234803337306317,0.92,0,1,0,0,1,1,0,0,"1",1,0,0,0,0,0,"5","2",1,0,0,0,0,0,"1",24,0
402,0.275590551181102,0.762,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"13","0",0,0,1,0,0,0,"5",18,1
27107,0.214401481824496,0.92,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"7","2",0,0,1,0,0,0,"1",46,1
699,0.214401481824496,0.92,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"17","7",0,0,1,0,0,0,"5",123,0
29452,0.59053343350864,0.624,0,1,0,1,0,0,0,1,"1",1,0,0,0,0,0,"2","2",0,0,1,0,0,0,"0",32,1
23853,0.214401481824496,0.92,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"5","6",0,0,1,0,0,0,"1",108,0
25619,0.0918367346938776,0.913,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"21","5",0,0,1,0,0,0,"3",23,0
8722,0.59053343350864,0.624,0,1,0,1,0,0,0,1,"1",1,0,0,0,0,0,"5","2",0,0,1,0,0,0,"0",26,0
6588,0.100226073850791,0.926,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"16","1",0,0,1,0,0,0,"5",18,0
4167,0.214401481824496,0.92,0,0,1,0,1,1,0,0,"2",0,0,0,0,1,0,"1","2",0,0,1,0,0,0,"0",106,0
5764,0.59053343350864,0.624,0,0,1,0,1,1,0,0,"2",0,0,0,0,1,0,"2","6",0,0,1,0,0,0,"2",7,0
2156,0.59053343350864,0.624,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"7","7",0,0,1,0,0,0,"0",23,1
11399,0.127659574468085,0.827,0,0,1,0,1,1,0,0,"2",0,1,0,0,0,0,"4","2",0,0,1,0,0,0,"1",132,1
31972,0.152173913043478,0.843,0,1,0,0,1,1,0,0,"3",0,0,0,0,1,0,"11","3",0,0,1,0,0,0,"1",68,0
19061,0.100226073850791,0.926,0,1,0,0,1,1,0,0,"3",0,0,0,0,1,0,"11","3",0,0,1,0,0,0,"2",50,0
6491,0.173333333333333,0.804,0,1,0,0,1,1,0,0,"3",0,0,0,0,1,0,"10","2",0,0,0,0,0,0,"1",48,0
7041,0.149253731343284,0.776,0,1,0,0,1,1,0,0,"2",0,0,1,0,0,0,"0","5",0,0,1,0,0,0,"1",65,0
22767,0.59053343350864,0.624,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"5","5",0,0,1,0,0,0,"1",13,0
14505,0.132558139534884,0.855,0,1,0,1,0,1,0,0,"1",1,0,0,0,0,0,"4","3",0,0,1,0,0,0,"0",22,0
17139,0.59053343350864,0.624,0,1,0,0,1,0,1,0,"2",0,0,0,0,1,0,"14","4",0,0,1,0,0,0,"1",148,1
28476,0.214401481824496,0.92,0,1,0,0,1,1,0,0,"2",0,1,0,0,0,0,"5","3",0,0,0,0,0,0,"2",72,0
21538,0.235294117647059,0.887,0,1,0,0,1,1,0,0,"1",1,0,0,0,0,0,"11","0",0,0,1,0,0,0,"1",8,1
10408,0.59053343350864,0.624,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"18","2",1,0,0,0,0,0,"2",68,1
14928,0.214401481824496,0.92,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"21","3",0,0,1,0,0,0,"3",40,0
22293,0.214401481824496,0.92,0,1,0,0,1,0,1,0,"2",0,0,0,0,1,0,"19","6",0,0,1,0,0,0,"5",141,0
4324,0.214401481824496,0.92,0,0,1,1,0,0,0,1,"2",0,0,0,0,1,0,"5","3",0,0,0,0,0,0,"1",24,0
26966,0.234803337306317,0.92,0,0,1,0,1,1,0,0,"2",0,0,0,0,1,0,"21","3",0,0,1,0,0,0,"5",82,0
26494,0.117259552042161,0.91,0,1,0,0,1,1,0,0,"2",0,0,0,1,0,0,"12","6",0,0,1,0,0,0,"3",145,0
4866,0.214401481824496,0.92,0,1,0,0,1,1,0,0,"2",0,0,0,0,1,0,"10","1",0,1,0,0,0,0,"2",206,0
12726,0.100226073850791,0.926,0,1,0,1,0,0,1,0,"1",1,0,0,0,0,0,"1","7",0,0,0,0,0,1,"1",152,0
10164,0.100226073850791,0.926,0,1,0,0,1,1,0,0,"4",0,0,0,0,1,0,"21","3",0,0,1,0,0,0,"4",42,1
8612,0.214401481824496,0.92,0,1,0,1,0,1,0,0,"2",0,0,0,0,1,0,"12","3",0,0,0,0,0,0,"4",50,0
24659,0.14828897338403,0.884,0,1,0,1,0,1,0,0,"1",1,0,0,0,0,0,"3","3",0,0,1,0,0,0,"0",106,0
2547,0.100226073850791,0.926,0,0,1,0,1,0,0,1,"3",0,0,0,0,1,0,"16","5",0,0,0,1,0,0,"2",14,0
13854,0.0945945945945946,0.924,0,1,0,0,1,1,0,0,"1",1,0,0,0,0,0,"4","1",0,0,1,0,0,0,"2",36,0
31654,0.59053343350864,0.624,0,1,0,0,1,1,0,0,"3",0,0,0,0,1,0,"6","2",0,1,0,0,0,0,"1",112,1
13643,0.140350877192982,0.666,0,1,0,1,0,1,0,0,"2",1,0,0,0,0,0,"9","2",0,0,1,0,0,0,"0",108,0
5590,0.59053343350864,0.624,0,1,0,0,1,0,1,0,"3",0,0,0,0,1,0,"9","6",0,0,1,0,0,0,"3",7,1
