"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
8949,"103",0.92,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","1",36,"1"
29725,"40",0.776,"M","N","None","Graduate","STEM","15","50-99","Pvt Ltd",">4",47,"0"
11561,"21",0.624,"M","N","Full-Time","Graduate","STEM","5","50-99","Pvt Ltd","never",83,"0"
33241,"115",0.789,"M","N","Full-Time","Graduate","Business","<1","100-500","Pvt Ltd","never",52,"1"
666,"162",0.767,"M","Y","None","Masters","STEM",">20","50-99","Funded Startup","4",8,"0"
21651,"176",0.764,"M","Y","Part-Time","Graduate","STEM","11","50-99","Pvt Ltd","1",24,"1"
28806,"160",0.92,"M","Y","None","High School","None","5","50-99","Funded Startup","1",24,"0"
402,"46",0.762,"M","Y","None","Graduate","STEM","13","<10","Pvt Ltd",">4",18,"1"
27107,"103",0.92,"M","Y","None","Graduate","STEM","7","50-99","Pvt Ltd","1",46,"1"
699,"103",0.92,"M","Y","None","Graduate","STEM","17","10000+","Pvt Ltd",">4",123,"0"
29452,"21",0.624,"M","N","Full-Time","High School","None","2","50-99","Pvt Ltd","never",32,"1"
23853,"103",0.92,"M","Y","None","Graduate","STEM","5","5000-9999","Pvt Ltd","1",108,"0"
25619,"61",0.913,"M","Y","None","Graduate","STEM",">20","1000-4999","Pvt Ltd","3",23,"0"
8722,"21",0.624,"M","N","Full-Time","High School","None","5","50-99","Pvt Ltd","never",26,"0"
6588,"114",0.926,"M","Y","None","Graduate","STEM","16","10-49","Pvt Ltd",">4",18,"0"
4167,"103",0.92,"M","Y","None","Graduate","STEM","1","50-99","Pvt Ltd","never",106,"0"
5764,"21",0.624,"M","Y","None","Graduate","STEM","2","5000-9999","Pvt Ltd","2",7,"0"
2156,"21",0.624,"M","Y","None","Graduate","STEM","7","10000+","Pvt Ltd","never",23,"1"
11399,"13",0.827,"F","Y","None","Graduate","Arts","4","100-500","Pvt Ltd","1",132,"1"
31972,"159",0.843,"M","Y","None","Masters","STEM","11","100-500","Pvt Ltd","1",68,"0"
19061,"114",0.926,"M","Y","None","Masters","STEM","11","100-500","Pvt Ltd","2",50,"0"
6491,"102",0.804,"M","Y","None","Masters","STEM","10","100-500","Pvt Ltd","1",48,"0"
7041,"40",0.776,"M","Y","None","Graduate","Humanities","<1","1000-4999","Pvt Ltd","1",65,"0"
22767,"21",0.624,"M","Y","None","Graduate","STEM","5","1000-4999","Pvt Ltd","1",13,"0"
14505,"67",0.855,"M","N","None","High School","None","4","50-99","Pvt Ltd","never",22,"0"
17139,"21",0.624,"M","Y","Part-Time","Graduate","STEM","14","500-999","Pvt Ltd","1",148,"1"
28476,"103",0.92,"M","Y","None","Graduate","Arts","5","100-500","Pvt Ltd","2",72,"0"
21538,"100",0.887,"M","Y","None","High School","None","11","<10","Pvt Ltd","1",8,"1"
10408,"21",0.624,"M","Y","None","Graduate","STEM","18","50-99","Funded Startup","2",68,"1"
14928,"103",0.92,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","3",40,"0"
22293,"103",0.92,"M","Y","Part-Time","Graduate","STEM","19","5000-9999","Pvt Ltd",">4",141,"0"
4324,"103",0.92,"F","N","Full-Time","Graduate","STEM","5","100-500","Pvt Ltd","1",24,"0"
26966,"160",0.92,"F","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd",">4",82,"0"
26494,"16",0.91,"M","Y","None","Graduate","Business","12","5000-9999","Pvt Ltd","3",145,"0"
4866,"103",0.92,"M","Y","None","Graduate","STEM","10","10-49","Early Stage Startup","2",206,"0"
12726,"114",0.926,"M","N","Part-Time","High School","None","1","10000+","Other","1",152,"0"
10164,"114",0.926,"M","Y","None","Phd","STEM",">20","100-500","Pvt Ltd","4",42,"1"
8612,"103",0.92,"M","N","None","Graduate","STEM","12","100-500","Pvt Ltd","4",50,"0"
24659,"71",0.884,"M","N","None","High School","None","3","50-99","Pvt Ltd","never",106,"0"
2547,"114",0.926,"F","Y","Full-Time","Masters","STEM","16","1000-4999","Public Sector","2",14,"0"
13854,"104",0.924,"M","Y","None","High School","None","4","10-49","Pvt Ltd","2",36,"0"
31654,"21",0.624,"M","Y","None","Masters","STEM","6","50-99","Early Stage Startup","1",112,"1"
13643,"64",0.666,"M","N","None","Graduate","None","9","50-99","Pvt Ltd","never",108,"0"
5590,"21",0.624,"M","Y","Part-Time","Masters","STEM","9","5000-9999","Pvt Ltd","3",7,"1"
22452,"21",0.624,"F","N","Full-Time","Masters","STEM","5","50-99","Pvt Ltd","never",26,"1"
9006,"21",0.624,"M","Y","None","Graduate","STEM","5","100-500","Pvt Ltd","never",87,"1"
25987,"103",0.92,"Other","Y","None","Graduate","STEM","19","10000+","Public Sector","4",52,"1"
4476,"101",0.558,"M","Y","None","Graduate","None","15","100-500","Pvt Ltd",">4",20,"1"
25103,"83",0.923,"M","Y","None","Graduate","STEM","11","10-49","Pvt Ltd","1",21,"0"
5568,"101",0.558,"M","N","None","Graduate","STEM","4","50-99","Pvt Ltd","1",92,"1"
2195,"64",0.666,"M","Y","None","Graduate","STEM","10","100-500","Pvt Ltd","2",102,"0"
30533,"105",0.794,"M","N","None","Graduate","Humanities","5","10000+","Pvt Ltd",">4",26,"0"
28512,"104",0.924,"M","Y","None","Masters","STEM","3","<10","Early Stage Startup","2",7,"0"
1023,"114",0.926,"M","N","Full-Time","High School","None","4","10000+","Pvt Ltd","1",43,"0"
12253,"104",0.924,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","1",45,"0"
25296,"73",0.754,"M","Y","Full-Time","Graduate","STEM","2","50-99","Early Stage Startup","2",52,"0"
13238,"103",0.92,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","2",19,"0"
13478,"21",0.624,"M","Y","Full-Time","Graduate","STEM","2","10-49","Funded Startup","1",32,"1"
18578,"162",0.767,"M","Y","None","Graduate","Humanities",">20","100-500","Pvt Ltd",">4",26,"1"
29975,"67",0.855,"M","Y","Part-Time","Graduate","STEM","6","50-99","Pvt Ltd","1",90,"0"
26516,"75",0.939,"M","Y","None","Graduate","STEM","6","100-500","Pvt Ltd","3",25,"0"
24690,"41",0.827,"M","Y","None","Masters","STEM","13","<10","Pvt Ltd","1",15,"0"
8433,"100",0.887,"M","Y","None","Masters","Humanities",">20","100-500","Pvt Ltd",">4",48,"0"
9572,"11",0.55,"M","N","Full-Time","High School","None","3","50-99","Pvt Ltd","never",98,"0"
5878,"93",0.865,"M","Y","None","Graduate","STEM","10","50-99","Pvt Ltd","2",142,"1"
25695,"67",0.855,"Other","N","None","Masters","Humanities","4","10000+","Pvt Ltd","4",13,"0"
9645,"16",0.91,"M","Y","None","Graduate","STEM","15","100-500","Pvt Ltd",">4",47,"0"
12730,"16",0.91,"F","Y","None","Masters","Humanities","14","500-999","Public Sector","1",28,"0"
20970,"64",0.666,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","4",22,"0"
17271,"21",0.624,"M","N","Full-Time","Graduate","STEM","<1","50-99","Pvt Ltd","never",18,"1"
12731,"13",0.827,"M","Y","None","Graduate","STEM","2","10-49","Pvt Ltd","1",29,"0"
10908,"67",0.855,"M","Y","None","Masters","STEM","5","100-500","Pvt Ltd","1",46,"0"
29117,"11",0.55,"M","N","Full-Time","Graduate","STEM","<1","50-99","Pvt Ltd","never",12,"0"
3686,"103",0.92,"M","Y","None","Graduate","STEM","5","100-500","Pvt Ltd","2",17,"0"
22683,"36",0.893,"M","Y","None","Masters","STEM","5","50-99","Pvt Ltd","2",65,"0"
22134,"103",0.92,"M","N","None","Graduate","Humanities","3","100-500","Pvt Ltd","1",35,"0"
31765,"67",0.855,"M","N","Full-Time","Graduate","STEM","9","10000+","Pvt Ltd","3",14,"0"
31449,"103",0.92,"F","Y","None","Masters","STEM","2","<10","Early Stage Startup","1",4,"0"
5987,"103",0.92,"M","Y","None","Graduate","STEM","15","50-99","Pvt Ltd",">4",12,"0"
21762,"160",0.92,"M","Y","None","Graduate","STEM",">20","50-99","Pvt Ltd","2",108,"0"
22070,"103",0.92,"M","N","None","Graduate","STEM",">20","100-500","Pvt Ltd","1",136,"0"
25413,"103",0.92,"M","Y","None","Graduate","STEM","5","10-49","Pvt Ltd","1",27,"0"
5902,"20",0.796,"M","Y","Part-Time","Masters","STEM","4","50-99","Funded Startup","1",74,"0"
28403,"71",0.884,"M","Y","None","Graduate","STEM","15","10-49","Early Stage Startup","1",86,"0"
30937,"57",0.866,"F","N","Part-Time","Graduate","STEM","<1","10-49","Pvt Ltd","2",83,"0"
28751,"103",0.92,"M","N","Full-Time","High School","None","4","100-500","Pvt Ltd","3",75,"0"
29290,"152",0.698,"M","N","Full-Time","Masters","STEM","11","100-500","Public Sector","2",42,"0"
32401,"103",0.92,"F","Y","None","Graduate","STEM","6","100-500","Pvt Ltd","1",332,"0"
19128,"61",0.913,"M","N","Full-Time","Graduate","STEM","4","100-500","Pvt Ltd","1",140,"0"
29036,"16",0.91,"M","N","None","High School","None","3","50-99","Pvt Ltd","never",182,"0"
16869,"103",0.92,"F","N","None","Graduate","Humanities","3","100-500","Pvt Ltd","1",13,"1"
10497,"19",0.682,"M","Y","None","Graduate","STEM","5","10-49","Pvt Ltd","2",172,"1"
18099,"103",0.92,"M","Y","None","Graduate","STEM","10","100-500","NGO","1",48,"0"
12081,"65",0.802,"M","Y","Full-Time","Graduate","STEM","9","50-99","Pvt Ltd","1",33,"0"
