"","enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target"
"1",8949,"103",0.92,"M","Y","None","Graduate","STEM",">20",NA,NA,"1",36,"1"
"2",29725,"40",0.776,"M","N","None","Graduate","STEM","15","50-99","Pvt Ltd",">4",47,"0"
"3",11561,"21",0.624,NA,"N","Full-Time","Graduate","STEM","5",NA,NA,"never",83,"0"
"4",33241,"115",0.789,NA,"N",NA,"Graduate","Business","<1",NA,"Pvt Ltd","never",52,"1"
"5",666,"162",0.767,"M","Y","None","Masters","STEM",">20","50-99","Funded Startup","4",8,"0"
"6",21651,"176",0.764,NA,"Y","Part-Time","Graduate","STEM","11",NA,NA,"1",24,"1"
"7",28806,"160",0.92,"M","Y","None","High School","None","5","50-99","Funded Startup","1",24,"0"
"8",402,"46",0.762,"M","Y","None","Graduate","STEM","13","<10","Pvt Ltd",">4",18,"1"
"9",27107,"103",0.92,"M","Y","None","Graduate","STEM","7","50-99","Pvt Ltd","1",46,"1"
"10",699,"103",0.92,NA,"Y","None","Graduate","STEM","17","10000+","Pvt Ltd",">4",123,"0"
"11",29452,"21",0.624,NA,"N","Full-Time","High School","None","2",NA,NA,"never",32,"1"
"12",23853,"103",0.92,"M","Y","None","Graduate","STEM","5","5000-9999","Pvt Ltd","1",108,"0"
"13",25619,"61",0.913,"M","Y","None","Graduate","STEM",">20","1000-4999","Pvt Ltd","3",23,"0"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",8722,"21",0.624,NA,"N","Full-Time","High School","None","5",NA,NA,"never",26,"0"
"16",6588,"114",0.926,"M","Y","None","Graduate","STEM","16","10-49","Pvt Ltd",">4",18,"0"
"17",4167,"103",0.92,NA,"Y","None","Graduate","STEM","1","50-99","Pvt Ltd","never",106,"0"
"18",5764,"21",0.624,NA,"Y","None","Graduate","STEM","2","5000-9999","Pvt Ltd","2",7,"0"
"19",2156,"21",0.624,NA,"Y","None","Graduate","STEM","7","10000+","Pvt Ltd","never",23,"1"
"20",11399,"13",0.827,"F","Y","None","Graduate","Arts","4",NA,NA,"1",132,"1"
"21",31972,"159",0.843,"M","Y","None","Masters","STEM","11","100-500","Pvt Ltd","1",68,"0"
"22",19061,"114",0.926,"M","Y","None","Masters","STEM","11","100-500","Pvt Ltd","2",50,"0"
"23",6491,"102",0.804,NA,"Y","None","Masters","STEM","10",NA,NA,"1",48,"0"
"24",7041,"40",0.776,"M","Y","None","Graduate","Humanities","<1","1000-4999","Pvt Ltd","1",65,"0"
"25",22767,"21",0.624,NA,"Y","None","Graduate","STEM","5","1000-4999","Pvt Ltd","1",13,"0"
"26",14505,"67",0.855,NA,"N","None","High School","None","4",NA,NA,"never",22,"0"
"27",17139,"21",0.624,NA,"Y","Part-Time","Graduate","STEM","14","500-999","Pvt Ltd","1",148,"1"
"28",28476,"103",0.92,"M","Y","None","Graduate","Arts","5",NA,NA,"2",72,"0"
"29",21538,"100",0.887,"M","Y","None","High School","None","11","<10","Pvt Ltd","1",8,"1"
"30",10408,"21",0.624,"M","Y","None","Graduate","STEM","18","50-99","Funded Startup","2",68,"1"
"31",14928,"103",0.92,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","3",40,"0"
"32",22293,"103",0.92,"M","Y","Part-Time","Graduate","STEM","19","5000-9999","Pvt Ltd",">4",141,"0"
"33",4324,"103",0.92,"F","N","Full-Time","Graduate","STEM","5",NA,NA,"1",24,"0"
"34",26966,"160",0.92,"F","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd",">4",82,"0"
"35",26494,"16",0.91,"M","Y","None","Graduate","Business","12","5000-9999","Pvt Ltd","3",145,"0"
"36",4866,"103",0.92,"M","Y","None","Graduate","STEM","10","10-49","Early Stage Startup","2",206,"0"
"37",12726,"114",0.926,"M","N","Part-Time","High School","None","1","10000+","Other","1",152,"0"
"38",10164,"114",0.926,"M","Y","None","Phd","STEM",">20","100-500","Pvt Ltd","4",42,"1"
"39",8612,"103",0.92,NA,"N","None","Graduate","STEM","12",NA,NA,"4",50,"0"
"40",24659,"71",0.884,"M","N","None",NA,NA,"3",NA,NA,"never",106,"0"
"41",2547,"114",0.926,"F","Y","Full-Time","Masters","STEM","16","1000-4999","Public Sector","2",14,"0"
"42",13854,"104",0.924,"M","Y","None","High School","None","4","10-49","Pvt Ltd","2",36,"0"
"43",31654,"21",0.624,NA,"Y","None","Masters","STEM","6","50-99","Early Stage Startup","1",112,"1"
"44",13643,"64",0.666,NA,"N","None","Graduate","None","9","50-99","Pvt Ltd","never",108,"0"
"45",5590,"21",0.624,"M","Y","Part-Time","Masters","STEM","9","5000-9999","Pvt Ltd","3",7,"1"
"46",22452,"21",0.624,"F","N","Full-Time","Masters","STEM","5",NA,NA,"never",26,"1"
"47",9006,"21",0.624,"M","Y","None","Graduate","STEM","5","100-500","Pvt Ltd","never",87,"1"
"48",25987,"103",0.92,"Other","Y","None","Graduate","STEM","19","10000+","Public Sector","4",52,"1"
"49",4476,"101",0.558,"M","Y","None","Graduate","None","15",NA,NA,">4",20,"1"
"50",25103,"83",0.923,"M","Y","None","Graduate","STEM","11","10-49","Pvt Ltd","1",21,"0"
"51",5568,"101",0.558,"M","N","None","Graduate","STEM","4",NA,NA,"1",92,"1"
"52",2195,"64",0.666,"M","Y","None","Graduate","STEM","10","100-500","Pvt Ltd","2",102,"0"
"53",30533,"105",0.794,"M","N","None","Graduate","Humanities","5","10000+","Pvt Ltd",">4",26,"0"
"54",28512,"104",0.924,NA,"Y","None","Masters","STEM","3","<10","Early Stage Startup","2",7,"0"
"55",1023,"114",0.926,"M","N","Full-Time","High School","None","4","10000+","Pvt Ltd","1",43,"0"
"56",12253,"104",0.924,"M","Y","None","Graduate","STEM",">20","100-500","Pvt Ltd","1",45,"0"
"57",25296,"73",0.754,"M","Y","Full-Time","Graduate","STEM","2","50-99","Early Stage Startup","2",52,"0"
"58",13238,"103",0.92,"M","Y","None","Graduate","STEM",">20",NA,NA,"2",19,"0"
"59",13478,"21",0.624,NA,"Y","Full-Time","Graduate","STEM","2","10-49","Funded Startup",NA,32,"1"
"60",18578,"162",0.767,"M","Y","None","Graduate","Humanities",">20","100-500","Pvt Ltd",">4",26,"1"
"61",29975,"67",0.855,"M","Y","Part-Time","Graduate","STEM","6",NA,NA,"1",90,"0"
"62",26516,"75",0.939,"M","Y","None","Graduate","STEM","6","100-500","Pvt Ltd","3",25,"0"
"63",24690,"41",0.827,NA,"Y",NA,"Masters","STEM","13","<10",NA,"1",15,"0"
"64",8433,"100",0.887,"M","Y","None","Masters","Humanities",">20","100-500","Pvt Ltd",">4",48,"0"
"65",9572,"11",0.55,NA,"N","Full-Time","High School","None","3",NA,NA,NA,98,"0"
"66",5878,"93",0.865,"M","Y","None","Graduate","STEM","10","50-99","Pvt Ltd","2",142,"1"
"67",25695,"67",0.855,"Other","N","None","Masters","Humanities","4","10000+","Pvt Ltd","4",13,"0"
"68",9645,"16",0.91,"M","Y","None","Graduate","STEM","15",NA,NA,">4",47,"0"
"69",12730,"16",0.91,"F","Y","None","Masters","Humanities","14","500-999","Public Sector","1",28,"0"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",20970,"64",0.666,"M","Y","None","Graduate","STEM",">20",NA,NA,"4",22,"0"
"72",17271,"21",0.624,"M","N","Full-Time","Graduate","STEM","<1",NA,NA,"never",18,"1"
